Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-11-15,LEGO: The Adventures of Clutch Powers,2010,https://boxd.it/7Of5oD,2,Yes,lego 🧱,2024-11-14
2024-11-20,A Hard Day's Night,1964,https://boxd.it/7QSnYF,1.5,,"watched for class, watched in theater",2024-11-19
2024-11-22,La La Land,2016,https://boxd.it/7RTvS7,5,,watched in theater,2024-11-21
2024-11-23,The Kid,1921,https://boxd.it/7Sjecl,3,,watched at work,2024-11-22
2024-11-24,THX 1138,1971,https://boxd.it/7SuP17,3,,,2024-11-23
2024-11-24,Gladiator,2000,https://boxd.it/7SPjsH,4.5,,,2024-11-23
2024-11-25,Gladiator II,2024,https://boxd.it/7TrWlr,2,,watched in theater,2024-11-24
2024-11-28,Ocean Bird (Washup),1974,https://boxd.it/7UR52R,,,misc. screening,2024-11-27
2024-11-28,Untitled: 'Silueta' Sequence No. 1,1978,https://boxd.it/7UR6sr,,,misc. screening,2024-11-27
2024-12-01,Kinds of Kindness,2024,https://boxd.it/7Wsp0z,2.5,,,2024-11-30
2024-12-02,Fargo,1996,https://boxd.it/7X7h7J,3.5,,,2024-12-01
2024-12-05,Citizen Kane,1941,https://boxd.it/7Yj3zn,4,Yes,"watched for class, watched in theater",2024-12-03
2024-12-06,In a Violent Nature,2024,https://boxd.it/7YVSG1,3,,,2024-12-05
2024-12-07,Purple Noon,1960,https://boxd.it/7Zcqcr,4,,"france 🇫🇷, kanopy",2024-12-06
2024-12-07,The Holdovers,2023,https://boxd.it/7Zlk9T,4.5,Yes,watched in theater,2024-12-06
2024-12-09,The Apprentice,2024,https://boxd.it/80ycor,4,,,2024-12-08
2024-12-11,La Haine,1995,https://boxd.it/81vP9N,4.5,Yes,"watched for class, france 🇫🇷, watched in theater",2024-12-10
2024-12-11,The Star Wars Holiday Special,1978,https://boxd.it/81wEIp,1,,misc. screening,2024-12-10
2024-12-12,The Story of the Faithful Wookiee,1978,https://boxd.it/81L3KD,1,,misc. screening,2024-12-10
2024-12-14,The Nightmare Before Christmas,1993,https://boxd.it/82Gzu7,3.5,,,2024-12-13
2024-12-19,Pulp Fiction,1994,https://boxd.it/85wJCx,3,,,2024-12-18
2024-12-20,Eyes Wide Shut,1999,https://boxd.it/865m8p,4.5,Yes,,2024-12-19
2024-12-21,Aftersun,2022,https://boxd.it/86u3iP,3.5,,,2024-12-20
2024-12-21,The Last Laugh,1924,https://boxd.it/86LL7P,3.5,,"germany 🇩🇪, watched at work",2024-12-20
2024-12-23,The Batman,2022,https://boxd.it/87FL0r,4.5,Yes,"watched on a plane, cbm 💬",2024-12-21
2024-12-23,The Suicide Squad,2021,https://boxd.it/87FVah,2.5,,"watched on a plane, cbm 💬",2024-12-22
2024-12-23,Elvis: The '68 Comeback Special,1968,https://boxd.it/87Gbh9,,,watched on a plane,2024-12-22
2024-12-23,Dream Scenario,2023,https://boxd.it/87GsNB,3,,watched on a plane,2024-12-22
2024-12-23,The Lego Batman Movie,2017,https://boxd.it/8840Yp,3.5,,"lego 🧱, watched on a plane, cbm 💬",2024-12-22
2024-12-23,Sing Sing,2023,https://boxd.it/8847vf,4,,watched on a plane,2024-12-23
2024-12-23,Ghostbusters,1984,https://boxd.it/885fRb,3.5,,watched on a plane,2024-12-23
2024-12-25,A Charlie Brown Christmas,1965,https://boxd.it/89yyB9,4,,cbm 💬,2024-12-25
2024-12-26,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/89Ntct,3.5,,watched in theater,2024-12-25
2024-12-27,The Hobbit,1977,https://boxd.it/8aODJj,2,,,2024-12-26
2024-12-27,The Lord of the Rings,1978,https://boxd.it/8bx353,2.5,,,2024-12-27
2024-12-28,The Return of the King,1980,https://boxd.it/8bB2zT,1.5,,,2024-12-27
2024-12-30,Paterson,2016,https://boxd.it/8emSOX,3.5,,,2024-12-30
