Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-05-19,Princess Mononoke,1997,https://boxd.it/9JLyBL,4,,"watched in theater, japan 🇯🇵",2025-05-18
2025-05-20,Stalker,1979,https://boxd.it/9K9AlD,4,,"⭐ sculpting in time, ussr ☭, kanopy",2025-05-19
2025-05-21,Nostalgia,1983,https://boxd.it/9KT8BP,4.5,,"⭐ sculpting in time, italy 🇮🇹, ussr ☭, kanopy",2025-05-20
2025-05-23,Voyage in Time,1983,https://boxd.it/9LCWo7,,,"⭐ sculpting in time, italy 🇮🇹, ussr ☭",2025-05-22
2025-05-25,The Sacrifice,1986,https://boxd.it/9N2qfD,4.5,,"⭐ sculpting in time, wtf cinema❓, sweden 🇸🇪, kanopy",2025-05-24
2025-05-26,Sunrise: A Song of Two Humans,1927,https://boxd.it/9Ny1QN,4.5,Yes,watched at work,2025-05-25
2025-05-26,Behind Convent Walls,1978,https://boxd.it/9O1vxJ,2,,"italy 🇮🇹, kanopy",2025-05-25
2025-05-28,The Cremator,1969,https://boxd.it/9Pjodn,4.5,,"wtf cinema❓, czechoslovakia 🇨🇿, kanopy",2025-05-27
2025-05-29,Spies,1928,https://boxd.it/9PFTsH,3,,"watched at work, germany 🇩🇪",2025-05-28
2025-05-29,The Hangover Part II,2011,https://boxd.it/9PW6tv,2.5,,,2025-05-28
2025-05-30,The Birth of a Nation,1915,https://boxd.it/9QxERF,,,watched at work,2025-05-29
2025-06-01,Crash,1996,https://boxd.it/9Rvgtz,4,Yes,canada 🇨🇦,2025-05-31
2025-06-02,Titane,2021,https://boxd.it/9SrxMT,3,,"france 🇫🇷, tubi",2025-06-01
2025-06-03,Au Revoir les Enfants,1987,https://boxd.it/9T6cwH,4,,"watched for class, france 🇫🇷, kanopy",2025-06-02
2025-06-04,Shadows of Forgotten Ancestors,1965,https://boxd.it/9TGvzH,,,ussr ☭,2025-06-03
2025-06-06,A Spring for the Thirsty,1965,https://boxd.it/9UBzwB,,,ussr ☭,2025-06-05
2025-06-08,The Face of Another,1966,https://boxd.it/9W57Mv,5,,japan 🇯🇵,2025-06-07
2025-06-09,Cousin Ben Troop Screening,2012,https://boxd.it/9WHWzt,,,,2025-06-08
2025-06-09,Moonrise Kingdom,2012,https://boxd.it/9WHX4B,3.5,,,2025-06-08
2025-06-10,The Color of Pomegranates,1969,https://boxd.it/9Xo1t5,4,,"wtf cinema❓, ussr ☭",2025-06-09
2025-06-11,Bottle Rocket,1996,https://boxd.it/9XYAG1,4,,kanopy,2025-06-10
2025-06-12,The Grand Budapest Hotel,2014,https://boxd.it/9YjvNt,4.5,Yes,,2025-06-11
2025-06-13,Chinatown,1974,https://boxd.it/9Zadn9,4,,watched in theater,2025-06-12
2025-06-15,The French Dispatch,2021,https://boxd.it/a0jpBf,5,Yes,,2025-06-14
2025-06-16,Past Lives,2023,https://boxd.it/a0IZlH,4,Yes,,2025-06-15
2025-06-17,Black Girl,1966,https://boxd.it/a1Loih,3.5,,"watched for class, senegal 🇸🇳, france 🇫🇷, kanopy",2025-06-16
2025-06-18,Materialists,2025,https://boxd.it/a2hWwL,3.5,,watched in theater,2025-06-17
2025-06-20,The Devil,1972,https://boxd.it/a3t7mX,3.5,,"wtf cinema❓, poland 🇵🇱",2025-06-19
2025-06-22,Roma,1972,https://boxd.it/a4Ku6V,,,italy 🇮🇹,2025-06-21
2025-06-23,La Chimera,2023,https://boxd.it/a5sv3V,4,,"italy 🇮🇹, kanopy",2025-06-22
2025-06-25,The Phoenician Scheme,2025,https://boxd.it/a6YtOD,2.5,,watched in theater,2025-06-24
2025-06-27,Days of Heaven,1978,https://boxd.it/a85y8F,3,,kanopy,2025-06-26
2025-06-28,Vivre Sa Vie,1962,https://boxd.it/a8LLJX,2.5,,"france 🇫🇷, kanopy",2025-06-27
2025-06-29,Outer Space,1999,https://boxd.it/a9ETV3,4.5,,"wtf cinema❓, austria 🇦🇹, mubi",2025-06-28
2025-06-29,Dream Work,2001,https://boxd.it/a9F0dd,4,,"wtf cinema❓, austria 🇦🇹, mubi",2025-06-28
2025-06-29,Instructions for a Light and Sound Machine,2005,https://boxd.it/a9F1ZR,,,"wtf cinema❓, austria 🇦🇹, mubi",2025-06-28
2025-06-29,Train Again,2021,https://boxd.it/a9F4qb,,,"austria 🇦🇹, mubi",2025-06-28
2025-06-30,Carol,2015,https://boxd.it/aa1f7X,4.5,,mubi,2025-06-29
2025-07-01,The Battle of Algiers,1966,https://boxd.it/ab2N5n,4.5,,"watched for class, italy 🇮🇹, algeria 🇩🇿, kanopy",2025-06-30
2025-07-03,F1,2025,https://boxd.it/acodqH,2.5,,watched in theater,2025-07-02
2025-07-04,A Short Story,2022,https://boxd.it/acVEB9,,,"china 🇨🇳, mubi",2025-07-03
2025-07-04,Living Still Life,2012,https://boxd.it/acVGb3,,,"france 🇫🇷, mubi",2025-07-03
2025-07-04,The Living End,1992,https://boxd.it/acVIFf,3,,mubi,2025-07-03
2025-07-06,The Doom Generation,1995,https://boxd.it/aep6YR,4,,kanopy,2025-07-05
2025-07-07,Nowhere,1997,https://boxd.it/aeM4h3,3.5,,kanopy,2025-07-06
2025-07-08,The Trial,1962,https://boxd.it/afSNux,3.5,,"tubi, france 🇫🇷, germany 🇩🇪, italy 🇮🇹",2025-07-07
2025-07-10,Totally F***ed Up,1993,https://boxd.it/ahgRkt,,,mubi,2025-07-09
2025-07-11,The Black Cat,1934,https://boxd.it/ai2MTz,2.5,,,2025-07-10
2025-07-13,Something in the Air,2012,https://boxd.it/ajtjuD,3,,"watched for class, france 🇫🇷",2025-07-12
2025-07-14,Superman,1978,https://boxd.it/aklhT5,3.5,,cbm 💬,2025-07-13
2025-07-15,Superman II: The Richard Donner Cut,2006,https://boxd.it/akPu7t,3,,cbm 💬,2025-07-14
2025-07-16,Superman,2025,https://boxd.it/alL8Wv,3,,"watched in theater, cbm 💬",2025-07-15
2025-07-17,Hardcore,1979,https://boxd.it/amlqVn,3.5,,tubi,2025-07-16
2025-07-18,Amadeus,1984,https://boxd.it/annoYd,4.5,,tubi,2025-07-17
2025-07-19,Full Metal Jacket,1987,https://boxd.it/ao4IoZ,5,,watched in theater,2025-07-18
2025-07-22,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/aqpBrH,3,,,2025-07-21
2025-07-23,Time to Love,1965,https://boxd.it/ar89LJ,4,,"türkiye 🇹🇷, mubi, profile",2025-07-22
2025-07-24,Rocco and His Brothers,1960,https://boxd.it/as91fB,4,,"italy 🇮🇹, kanopy",2025-07-23
2025-07-25,The 400 Blows,1959,https://boxd.it/asRFrZ,3.5,,"watched for class, france 🇫🇷, kanopy",2025-07-24
2025-07-27,Porco Rosso,1992,https://boxd.it/aurnJn,4,,"watched in theater, japan 🇯🇵",2025-07-26
2025-07-28,Fatima,2015,https://boxd.it/avBvSh,2.5,,"watched for class, france 🇫🇷",2025-07-27
2025-07-28,Faust,1926,https://boxd.it/avBwCf,4.5,Yes,"watched at work, germany 🇩🇪",2025-07-27
2025-07-29,The Menu,2022,https://boxd.it/awiB4N,4,Yes,tubi,2025-07-28
2025-07-30,Eddington,2025,https://boxd.it/ax8EUV,,,watched in theater,2025-07-29
2025-07-30,The Fantastic Four: First Steps,2025,https://boxd.it/axhKwj,3,,"watched in theater, cbm 💬",2025-07-29
2025-07-31,Carnival of Souls,1962,https://boxd.it/axVYKf,3.5,,tubi,2025-07-30
2025-08-01,The Draughtsman's Contract,1982,https://boxd.it/ayN265,3.5,,"⭐ greenaway gamut, tubi",2025-07-31
2025-08-04,The Falls,1980,https://boxd.it/aBfbq3,,,"⭐ greenaway gamut, wtf cinema❓, kanopy",2025-08-03
2025-08-07,H Is for House,1976,https://boxd.it/aDCAFB,,,⭐ greenaway gamut,2025-08-05
2025-08-07,A Walk Through H,1978,https://boxd.it/aDCRvt,,,⭐ greenaway gamut,2025-08-05
2025-08-07,Vertical Features Remake,1978,https://boxd.it/aDDkKR,,,⭐ greenaway gamut,2025-08-05
2025-08-07,A Zed & Two Noughts,1985,https://boxd.it/aDEd9L,4,,"⭐ greenaway gamut, kanopy",2025-08-06
2025-08-09,Hiroshima Mon Amour,1959,https://boxd.it/aENkY9,3.5,,"france 🇫🇷, kanopy",2025-08-08
2025-08-10,The Belly of an Architect,1987,https://boxd.it/aFzGFJ,3,,"⭐ greenaway gamut, tubi",2025-08-09
2025-08-11,American Graffiti,1973,https://boxd.it/aGAxzX,2.5,,watched in theater,2025-08-10
2025-08-15,I Am Cuba,1964,https://boxd.it/aJCwJ9,5,,"ussr ☭, cuba 🇨🇺, kanopy",2025-08-14
2025-08-17,Drowning by Numbers,1988,https://boxd.it/aL2Hjn,4,,"⭐ greenaway gamut, tubi",2025-08-16
2025-08-18,8½,1963,https://boxd.it/aLWDbV,3.5,Yes,"italy 🇮🇹, kanopy",2025-08-17
2025-08-19,Earth,1930,https://boxd.it/aMOt0L,2.5,,"watched at work, ussr ☭",2025-08-18
2025-08-20,Le Dormeur,1974,https://boxd.it/aN7ZmH,,,"⭐ sculpting in time, watched at work, france 🇫🇷, profile",2025-08-19
2025-08-21,The Last Command,1928,https://boxd.it/aO9qRD,4,,watched at work,2025-08-20
